Quicksort recursive, array[10], k = 1
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
total time: ,,
939670200,,
quicksort recur, array[10], k = n/4
